cc,descripcion,unidad,capitulo,grupo,uf,proyecto,orden
3701.06.14,"Box abovedados galvanizados - Incluye tornilleria 1,5x1,5",m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,43
3701.06.15,Box abovedados galvanizados - Incluye tornilleria 2x1,m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,44
3701.06.16,Box abovedados galvanizados - Incluye tornilleria 4x2,m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,45
3701.06.18,Box abovedados galvanizados - Incluye tornilleria 5x2,m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,46
3701.06.19,Box abovedados galvanizados - Incluye tornilleria 2x2,m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,47
3701.06.20,"Box abovedados galvanizados - Incluye tornilleria 3x1,5",m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,48
3701.06.21,"Box abovedados galvanizados - Incluye tornilleria 3,5x2,5",m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,49
3701.06.22,"Box abovedados galvanizados - Incluye tornilleria 4x2,5",m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,50
3701.06.23,"Box abovedados galvanizados - Incluye tornilleria 2,5x2",m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,51
3701.06.24,Box abovedados galvanizados - Incluye tornilleria 3x2,m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,52
3701.06.25,"Box abovedados galvanizados - Incluye tornilleria 2,5x2,5",m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,53
3701.06.27,"Box abovedados galvanizados - Incluye tornilleria 5x2,5",m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,54
3701.06.28,"Box abovedados galvanizados - Incluye tornilleria 4x3,5",m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,55
3701.06.29,Box abovedados galvanizados - Incluye tornilleria 3x3,m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,56
3701.06.32,Box abovedados galvanizados - Incluye tornilleria 4x4,m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,57
3701.06.33,Box abovedados galvanizados - Incluye tornilleria 1x1,m3,DRENAJE TRANSVERSAL,DRENAJES Y ESTRUCTURAS,UF1,3701,58
3701.07.01,Excavaciones varias sin clasicar ODL,m3,DRENAJE LONGITUDINAL,DRENAJES Y ESTRUCTURAS,UF1,3701,59
3701.07.02,Material granular drenante ODL,m3,DRENAJE LONGITUDINAL,DRENAJES Y ESTRUCTURAS,UF1,3701,60
3701.07.03,Rellenos con material seleccionado ODL,m3,DRENAJE LONGITUDINAL,DRENAJES Y ESTRUCTURAS,UF1,3701,61
3701.07.04,Cuneta de concreto vaciado en situ; no incluye la conformación del sitio de apoyo. (21 Mpa),m3,DRENAJE LONGITUDINAL,DRENAJES Y ESTRUCTURAS,UF1,3701,62
3701.07.05,Concreto clase 28 MPA (Sumideros) ODL,m3,DRENAJE LONGITUDINAL,DRENAJES Y ESTRUCTURAS,UF1,3701,63
3701.07.06,Concreto clase 21 MPA (disipadores de energía) ODL,m3,DRENAJE LONGITUDINAL,DRENAJES Y ESTRUCTURAS,UF1,3701,64
3701.07.07,Concreto clase 14 MPA (Cunetas de terraza y coronación),m3,DRENAJE LONGITUDINAL,DRENAJES Y ESTRUCTURAS,UF1,3701,65
3701.07.07,Concreto clase 14 MPA (solados) ODL,m3,DRENAJE LONGITUDINAL,DRENAJES Y ESTRUCTURAS,UF1,3701,66
3701.07.08,Acero de refuerzo Fy=420 Mpa. ODL,kg,DRENAJE LONGITUDINAL,DRENAJES Y ESTRUCTURAS,UF1,3701,67
3701.07.09,Malla electrosoldada de refuerzo fy 490 Mpa (6mm / 15x15) ODL,kg,DRENAJE LONGITUDINAL,DRENAJES Y ESTRUCTURAS,UF1,3701,68
