codigo,tipo,placa,proveedor,medidor,ultima_fecha,ultimo_final,activo
NG002,EXTENDEDORAS,PENDIENTE,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-04,519,SI
NH403,VIBROCOMPACTADOR,,DINISSAN,HOROMETRO,2026-09-09,469,SI
NH404,VIBROCOMPACTADOR,,DINISSAN,HOROMETRO,2026-07-11,599,NO
NH420,VIBROCOMPACTADOR,,DINISSAN,HOROMETRO,2026-08-01,290.8,NO
NH421,MINICARGADOR,,DINISSAN,HOROMETRO,2026-08-18,328,SI
NH69,BULLDOZER,,DINISSAN,HOROMETRO,2026-08-01,6182.4,NO
NXR363,TURBO MIXTA,NXR363,TRANSCASTAÑEDA,KM,2026-06-13,38788,NO
PH102,PAJARITA,,MAQUISABANA,HOROMETRO,2026-05-29,6836.6,NO
R102,RETROCARGADOR,,TRANSVISA,HOROMETRO,2026-06-09,413.6,NO
RT-01,RETROCARGADOR,,MAQUISABANA,HOROMETRO,2026-08-27,5407.6,SI
RT-02,RETROCARGADOR,,MAQUISABANA,HOROMETRO,2026-09-09,7049.6,SI
SJQ401,,,,HOROMETRO,2026-09-09,342292,SI
SKY629,,,,REVISAR,,,NO
SQA934,CAMABAJA,,ASOTRASAT,KM,2026-06-04,936,NO
SRO556,,,,KM,2026-06-19,272479,NO
SRS105,CAMION CISTERNA,,CONTRASABANA,KM,2026-09-05,223342,SI
SRS255,CARRO CISTERNA,,ASOTRASAT,HOROMETRO,2026-07-15,654255,NO
SXV919,CAMABAJA,,TRANSVISA,KM,2026-07-28,1323385,NO
TAR538,,,,HOROMETRO,2026-08-25,61224.8,SI
TC009,TRACTOCAMIONES,NNL004,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-01,55888,SI
TC023,TRACTOCAMIONES,LKM565,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-07-31,222.4,NO
TC065,TRACTOCAMIONES,NNL565,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-02,4705,SI
TC092,TRACTOCAMIONES,LKM448,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-09-02,12605,SI
TC095,TRACTOCAMIONES,NNK996,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-09,25485,SI
TC114,TRACTOCAMIONES,NNL841,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-05-20,14169,NO
TI001,TORRES DE ILUMINACIÓN,N/A,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-06-30,7220.899999999998,NO
TI005,TORRES DE ILUMINACIÓN,N/A,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-06-30,4932.999999999998,NO
TI011,LUMINARIA,,TORRES DE ILUMINACION,HOROMETRO,2026-08-29,3100,SI
TI08,TORRES DE ILUMINACIÓN,N/A,TRANSPORTES Y GRUAS RIQUELME S.A.S.,HOROMETRO,2026-08-29,3082,SI
TI12,LUMINARIA,POTI012,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,HOROMETRO,2026-08-31,1097,SI
TMX535,CARROTANQUE,TMX535,ASOVOLSAT,KM,2026-08-15,16370,NO
TTS230,,,,REVISAR,,,NO
TTS508,CARROTANQUE,,ASOVOLSAT,KM,2026-06-15,163841,NO
UPP173,CAMABAJA,,ASOVOLSAT,KM,2026-07-04,1043827,NO
VOL010,VOLQUETAS DOBLETROQUE,NNL600,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-04,52534,SI
VOL012,VOLQUETAS DOBLETROQUE,NNL602,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-09,41421,SI
VOL022,VOLQUETAS DOBLETROQUE,NNM221,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-05,26341,SI
VOL024,VOLQUETAS DOBLETROQUE,NNM223,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-07-28,2228.9,NO
VOL031,VOLQUETAS DOBLETROQUE,NNM214,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-08-20,41141,SI
VOL034,VOLQUETAS DOBLETROQUE,NNM218,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-07-04,33189,NO
VOL039,VOLQUETAS DOBLETROQUE,NNM195,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-02,42654,SI
VOL040,VOLQUETAS DOBLETROQUE,NNM198,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-08-29,39892,SI
VOL044,VOLQUETAS DOBLETROQUE,NNM196,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-09,47842,SI
VOL047,VOLQUETAS DOBLETROQUE,NNM187,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-04,47528,SI
VOL048,VOLQUETAS DOBLETROQUE,NNM180,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-09,27120,SI
VOL054,VOLQUETAS DOBLETROQUE,NNM203,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-03,43817,SI
VOL056,VOLQUETAS DOBLETROQUE,NNM210,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-09,34729,SI
VOL065,VOLQUETAS DOBLETROQUE,NNM208,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-09,40000,SI
VOL067,VOLQUETAS DOBLETROQUE,NNM202,ORTIZ CONSTRUCCIONES Y PROYECTOS S.A.,KM,2026-09-09,45692,SI
WDS154,TURBO,WDS154,COTRASABANA,KM,2026-06-15,144130,NO
WNW030,BRAZO ARTICULADO,,,REVISAR,,,NO
XIE638,CAMABAJA,,ASOTRASAT,HOROMETRO,2026-05-19,903195,NO
XMC714,CARROTANQUE,,TRANSVISA,KM,2026-09-09,380844,SI
XMD600,CARROTANQUE,,VELEROS,KM,2026-06-20,631959,NO
XVX241,CARROTANQUE,XVX241,TRANSVISA,KM,2026-08-21,377810,SI
